asvID	Total	C1_rep2(%)	C2_rep1(%)	C2_rep2(%)	C3_rep1(%)	C3_rep2(%)	C4_rep1(%)	C4_rep2(%)	P1_rep2(%)	P2_rep1(%)	P2_rep2(%)	P3_rep1(%)	P3_rep2(%)	P4_rep1(%)	P4_rep2(%)	U1_rep1(%)	U1_rep2(%)	U2_rep1(%)	U2_rep2(%)	U3_rep2(%)	U4_rep1(%)	U4_rep2(%)	Taxonomy
asv_1	9644	11.4976	24.0413	12.3291	0.0000	12.6469	15.9503	13.7317	14.5196	19.4833	12.6265	30.7246	13.3668	13.3790	11.6408	24.1463	24.0049	26.0131	22.0903	21.4074	31.3411	20.7831	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacteriaceae(100);Salmonella(100);
asv_2	6273	3.2193	0.0000	2.8487	0.0000	3.4321	0.0000	3.4591	7.1090	8.7191	5.9760	0.0000	6.4322	6.7828	5.7433	22.0325	23.8008	29.9346	26.0755	30.0000	28.2799	23.8119	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Cupriavidus(100);
asv_3	5988	7.0423	0.0000	5.8569	0.0000	6.3705	0.0000	8.4906	15.5106	22.2820	14.3499	0.0000	14.7906	20.0373	12.9898	7.6423	7.1647	0.0000	7.9704	6.2222	12.9738	8.3969	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(100);Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium(99);
asv_4	5213	7.4447	0.0000	7.0191	34.8936	7.4753	12.6074	8.5535	7.0228	0.0000	7.0064	14.3478	6.1139	0.0000	7.0667	14.3089	12.1249	17.3856	11.0319	13.5556	20.1166	12.6324	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Stenotrophomonas(100);
asv_5	4918	4.5128	0.0000	4.0565	0.0000	5.6182	9.3601	6.5199	6.3766	0.0000	6.9502	15.3623	7.4037	9.7698	5.9617	17.0732	13.1251	19.2157	12.6683	12.0000	0.0000	14.8978	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(100);Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium(100);
asv_6	4393	12.8485	27.1386	15.1778	0.0000	13.8693	14.1356	9.9371	7.4106	11.3025	6.5380	14.0580	6.4154	8.4007	7.5035	0.0000	0.3674	0.0000	0.0000	0.9630	0.0000	0.6895	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Bacillus(100);
asv_7	3774	8.1345	15.9292	8.3181	29.7872	6.5820	10.7927	7.4423	6.9367	11.0872	6.7441	0.0000	7.2027	9.2719	6.2701	0.0000	2.2862	4.9673	4.8826	3.1852	0.0000	3.2258	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(96);
asv_8	2983	9.3418	0.0000	8.7967	35.3191	7.3108	11.7479	9.6017	5.0409	0.0000	4.7021	8.5507	4.1206	6.9695	6.3215	0.0000	0.4082	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);
asv_9	2672	3.9667	0.0000	4.2160	0.0000	5.4067	0.0000	4.7799	6.0750	9.2573	5.4889	0.0000	5.7286	0.0000	5.2807	5.2846	4.4295	0.0000	4.1700	3.7037	0.0000	3.1519	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacteriaceae(100);Escherichia-Shigella(100);
asv_10	2600	10.7502	21.3864	13.6053	0.0000	10.9309	14.0401	10.2096	0.8186	0.0000	1.4612	0.0000	1.5578	2.8625	1.9144	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Chromobacteriaceae(100);Chromobacterium(100);
