#filename,count,total_bp,min,max,mean,median,mode,n50,std
C1_rep2_R1.NOPRIM.NORUNID.fastq,14270,4047230,246,284,283.62,284.00,284,284,1.04
C1_rep2_R2.NOPRIM.NORUNID.fastq,14270,3981531,275,280,279.01,279.00,279,279,0.19
C2_rep1_R1.NOPRIM.NORUNID.fastq,9466,2683763,279,284,283.52,284.00,284,284,1.11
C2_rep1_R2.NOPRIM.NORUNID.fastq,9466,2643600,274,280,279.27,279.00,279,279,0.57
C2_rep2_R1.NOPRIM.NORUNID.fastq,17225,4883924,277,284,283.54,284.00,284,284,1.08
C2_rep2_R2.NOPRIM.NORUNID.fastq,17225,4805949,275,280,279.01,279.00,279,279,0.21
C3_rep1_R1.NOPRIM.NORUNID.fastq,10152,2878812,246,284,283.57,284.00,284,284,1.11
C3_rep1_R2.NOPRIM.NORUNID.fastq,10152,2835311,263,280,279.29,279.00,279,279,0.60
C3_rep2_R1.NOPRIM.NORUNID.fastq,19440,5512977,120,284,283.59,284.00,284,284,1.57
C3_rep2_R2.NOPRIM.NORUNID.fastq,19440,5423774,120,280,279.00,279.00,279,279,1.17
C4_rep1_R1.NOPRIM.NORUNID.fastq,11357,3221646,158,284,283.67,284.00,284,284,1.50
C4_rep1_R2.NOPRIM.NORUNID.fastq,11357,3171624,158,280,279.27,279.00,279,279,1.27
C4_rep2_R1.NOPRIM.NORUNID.fastq,20267,5749757,246,284,283.70,284.00,284,284,0.93
C4_rep2_R2.NOPRIM.NORUNID.fastq,20267,5654649,246,280,279.01,279.00,279,279,0.31
P1_rep2_R1.NOPRIM.NORUNID.fastq,9563,2714290,279,284,283.83,284.00,284,284,0.69
P1_rep2_R2.NOPRIM.NORUNID.fastq,9563,2668188,275,280,279.01,279.00,279,279,0.19
P2_rep1_R1.NOPRIM.NORUNID.fastq,11480,3257533,246,284,283.76,284.00,284,284,0.89
P2_rep1_R2.NOPRIM.NORUNID.fastq,11480,3206130,263,280,279.28,279.00,279,279,0.58
P2_rep2_R1.NOPRIM.NORUNID.fastq,21646,6142676,230,284,283.78,284.00,284,284,0.86
P2_rep2_R2.NOPRIM.NORUNID.fastq,21646,6039383,247,280,279.01,279.00,279,279,0.31
P3_rep1_R1.NOPRIM.NORUNID.fastq,13181,3740186,141,284,283.76,284.00,284,284,1.87
P3_rep1_R2.NOPRIM.NORUNID.fastq,13181,3681015,141,280,279.27,279.00,279,279,1.74
P3_rep2_R1.NOPRIM.NORUNID.fastq,25352,7194414,275,284,283.78,284.00,284,284,0.78
P3_rep2_R2.NOPRIM.NORUNID.fastq,25352,7073364,275,280,279.01,279.00,279,279,0.22
P4_rep1_R1.NOPRIM.NORUNID.fastq,17858,5067114,62,284,283.74,284.00,284,284,1.85
P4_rep1_R2.NOPRIM.NORUNID.fastq,17858,4987198,62,280,279.27,279.00,279,279,1.72
P4_rep2_R1.NOPRIM.NORUNID.fastq,31905,9053062,13,284,283.75,284.00,284,284,2.23
P4_rep2_R2.NOPRIM.NORUNID.fastq,31905,8901206,13,280,278.99,279.00,279,279,1.99
U1_rep1_R1.NOPRIM.NORUNID.fastq,10320,2930292,34,284,283.94,284.00,284,284,2.48
U1_rep1_R2.NOPRIM.NORUNID.fastq,10320,2882055,13,280,279.27,279.00,279,279,2.68
U1_rep2_R1.NOPRIM.NORUNID.fastq,19950,5664876,83,284,283.95,284.00,284,284,1.46
U1_rep2_R2.NOPRIM.NORUNID.fastq,19950,5565997,62,280,279.00,279.00,279,279,1.55
U2_rep1_R1.NOPRIM.NORUNID.fastq,8616,2446393,62,284,283.94,284.00,284,284,2.41
U2_rep1_R2.NOPRIM.NORUNID.fastq,8616,2405990,62,280,279.25,279.00,279,279,2.41
U2_rep2_R1.NOPRIM.NORUNID.fastq,16728,4750038,233,284,283.96,284.00,284,284,0.52
U2_rep2_R2.NOPRIM.NORUNID.fastq,16728,4667227,275,280,279.01,279.00,279,279,0.21
U3_rep2_R1.NOPRIM.NORUNID.fastq,6190,1757694,280,284,283.96,284.00,284,284,0.35
U3_rep2_R2.NOPRIM.NORUNID.fastq,6190,1727054,275,280,279.01,279.00,279,279,0.20
U4_rep1_R1.NOPRIM.NORUNID.fastq,9926,2818530,273,284,283.95,284.00,284,284,0.38
U4_rep1_R2.NOPRIM.NORUNID.fastq,9926,2772200,275,280,279.29,279.00,279,279,0.56
U4_rep2_R1.NOPRIM.NORUNID.fastq,18109,5142036,161,284,283.95,284.00,284,284,0.98
U4_rep2_R2.NOPRIM.NORUNID.fastq,18109,5052459,161,280,279.00,279.00,279,279,0.90
