#filename,count,total_bp,min,max,mean,median,mode,n50,std
C1_rep2_R1.filt.NORUNID.fastq.gz,3661,1032608,117,284,282.06,284.00,284,284,16.01
C1_rep2_R2.filt.NORUNID.fastq.gz,3661,1021437,275,280,279.00,279.00,279,279,0.10
C2_rep1_R1.filt.NORUNID.fastq.gz,1242,352128,281,284,283.52,284.00,284,284,1.10
C2_rep1_R2.filt.NORUNID.fastq.gz,1242,346785,278,280,279.21,279.00,279,279,0.46
C2_rep2_R1.filt.NORUNID.fastq.gz,4627,1303814,117,284,281.78,284.00,284,284,16.91
C2_rep2_R2.filt.NORUNID.fastq.gz,4627,1290958,278,280,279.01,279.00,279,279,0.08
C3_rep1_R1.filt.NORUNID.fastq.gz,1055,299160,280,284,283.56,284.00,284,284,1.06
C3_rep1_R2.filt.NORUNID.fastq.gz,1055,294566,278,280,279.21,279.00,279,279,0.45
C3_rep2_R1.filt.NORUNID.fastq.gz,4517,1274963,117,284,282.26,284.00,284,284,14.64
C3_rep2_R2.filt.NORUNID.fastq.gz,4517,1260078,120,280,278.96,279.00,279,279,2.39
C4_rep1_R1.filt.NORUNID.fastq.gz,1417,401893,158,284,283.62,284.00,284,284,3.45
C4_rep1_R2.filt.NORUNID.fastq.gz,1417,395518,158,280,279.12,279.00,279,279,3.25
C4_rep2_R1.filt.NORUNID.fastq.gz,5010,1413581,117,284,282.15,284.00,284,284,15.93
C4_rep2_R2.filt.NORUNID.fastq.gz,5010,1397774,246,280,279.00,279.00,279,279,0.47
P1_rep2_R1.filt.NORUNID.fastq.gz,2412,681109,117,284,282.38,284.00,284,284,15.52
P1_rep2_R2.filt.NORUNID.fastq.gz,2412,672961,279,280,279.01,279.00,279,279,0.07
P2_rep1_R1.filt.NORUNID.fastq.gz,1422,403516,246,284,283.77,284.00,284,284,1.26
P2_rep1_R2.filt.NORUNID.fastq.gz,1422,397003,263,280,279.19,279.00,279,279,0.62
P2_rep2_R1.filt.NORUNID.fastq.gz,5605,1580890,117,284,282.05,284.00,284,284,16.91
P2_rep2_R2.filt.NORUNID.fastq.gz,5605,1563790,247,280,279.00,279.00,279,279,0.44
P3_rep1_R1.filt.NORUNID.fastq.gz,1558,441871,141,284,283.61,284.00,284,284,5.00
P3_rep1_R2.filt.NORUNID.fastq.gz,1558,434753,141,280,279.05,279.00,279,279,4.80
P3_rep2_R1.filt.NORUNID.fastq.gz,6224,1755037,117,284,281.98,284.00,284,284,17.36
P3_rep2_R2.filt.NORUNID.fastq.gz,6224,1736515,275,280,279.00,279.00,279,279,0.08
P4_rep1_R1.filt.NORUNID.fastq.gz,2281,647150,62,284,283.71,284.00,284,284,4.70
P4_rep1_R2.filt.NORUNID.fastq.gz,2281,636675,62,280,279.12,279.00,279,279,4.57
P4_rep2_R1.filt.NORUNID.fastq.gz,8232,2321231,62,284,281.98,284.00,284,284,17.20
P4_rep2_R2.filt.NORUNID.fastq.gz,8232,2296442,79,280,278.97,279.00,279,279,2.58
U1_rep1_R1.filt.NORUNID.fastq.gz,1317,374019,281,284,283.99,284.00,284,284,0.14
U1_rep1_R2.filt.NORUNID.fastq.gz,1317,367744,278,280,279.23,279.00,279,279,0.47
U1_rep2_R1.filt.NORUNID.fastq.gz,5100,1440472,117,284,282.45,284.00,284,284,15.96
U1_rep2_R2.filt.NORUNID.fastq.gz,5100,1422926,278,280,279.01,279.00,279,279,0.07
U2_rep1_R1.filt.NORUNID.fastq.gz,1012,287180,62,284,283.77,284.00,284,284,6.98
U2_rep1_R2.filt.NORUNID.fastq.gz,1012,282351,62,280,279.00,279.00,279,279,6.84
U2_rep2_R1.filt.NORUNID.fastq.gz,4012,1132999,117,284,282.40,284.00,284,284,16.18
U2_rep2_R2.filt.NORUNID.fastq.gz,4012,1119360,279,280,279.00,279.00,279,279,0.05
U3_rep2_R1.filt.NORUNID.fastq.gz,1432,404477,117,284,282.46,284.00,284,284,15.84
U3_rep2_R2.filt.NORUNID.fastq.gz,1432,399529,275,280,279.00,279.00,279,279,0.13
U4_rep1_R1.filt.NORUNID.fastq.gz,1041,295614,281,284,283.97,284.00,284,284,0.29
U4_rep1_R2.filt.NORUNID.fastq.gz,1041,290656,278,280,279.21,279.00,279,279,0.44
U4_rep2_R1.filt.NORUNID.fastq.gz,4253,1202291,117,284,282.69,284.00,284,284,14.55
U4_rep2_R2.filt.NORUNID.fastq.gz,4253,1186495,161,280,278.98,279.00,279,279,1.81
