OTUID	Total	C1_rep1(%)	C1_rep2(%)	C2_rep1(%)	C2_rep2(%)	C3_rep1(%)	C3_rep2(%)	C4_rep1(%)	C4_rep2(%)	P1_rep1(%)	P1_rep2(%)	P2_rep1(%)	P2_rep2(%)	P3_rep1(%)	P3_rep2(%)	P4_rep1(%)	P4_rep2(%)	U1_rep1(%)	U1_rep2(%)	U2_rep1(%)	U2_rep2(%)	U3_rep1(%)	U3_rep2(%)	U4_rep1(%)	U4_rep2(%)	Taxonomy
OTU_1	22368	16.0878	13.6049	13.7876	13.9499	15.2503	15.0291	15.9452	16.5340	15.1163	17.4710	14.5887	14.9561	15.5682	15.4672	13.0982	13.7523	28.1897	28.2989	24.1111	24.7053	26.8267	23.7574	22.4184	23.2039	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacteriaceae(100);Salmonella(100);
OTU_2	13948	8.7824	7.4697	6.7195	5.7432	6.9170	7.1148	9.5068	8.8670	19.2442	15.2516	16.5049	15.2825	17.4091	15.7724	15.7851	13.6524	8.3908	7.6317	8.6667	8.4551	6.4718	7.0345	10.9594	9.1051	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(100);Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium(98);
OTU_3	13072	3.0339	3.5009	2.9794	2.7872	2.9974	3.5642	3.5890	3.5493	5.8721	7.1742	5.6208	6.1220	6.2273	6.9016	5.1721	5.7314	21.6667	24.6184	24.7037	27.2199	26.0960	29.4019	21.4191	25.8927	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Cupriavidus(100);
OTU_4	10491	15.4092	16.1872	19.3978	20.0028	16.7655	17.6040	12.8493	12.3658	6.1047	6.5290	8.0991	8.7779	7.7273	8.1815	8.3795	9.3961	0.4310	0.4062	0.5926	0.4243	0.7307	0.8003	0.7995	0.7682	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(100);Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium(95);
OTU_5	9173	4.1118	4.8700	4.6910	4.1244	6.9829	5.6783	6.7123	6.1261	7.3256	6.7097	6.7706	6.9435	7.3409	7.4136	6.8346	5.9542	15.9770	13.4170	14.2963	12.4312	13.6743	10.8677	18.5543	14.3690	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Stenotrophomonas(100);
OTU_6	7613	6.2275	6.4818	6.6878	6.4471	6.5547	6.2746	6.6575	7.1997	6.8605	5.7290	5.3909	6.0770	4.5682	5.3067	5.9614	6.1463	10.8621	10.2659	9.7407	9.5081	11.1691	11.6259	10.6262	10.3998	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(98);
OTU_7	11152	7.1856	8.1109	8.3360	8.5867	6.4888	6.5321	8.0548	7.7049	7.7326	7.3806	7.1027	6.7972	6.5227	7.0296	5.8774	6.2538	1.8391	2.3018	4.2593	4.5890	3.1315	3.4541	2.3651	2.8738	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Bacillus(100);
OTU_8	6437	10.4990	9.6707	8.4311	8.6712	7.4769	7.2503	9.4521	10.1933	5.1163	5.1871	4.9310	4.9629	4.2727	4.2040	5.2057	6.0925	0.2299	0.4431	0.5556	0.5501	0.9395	0.7161	0.6995	0.5406	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);
OTU_9	5713	3.9122	4.0208	3.8986	4.0681	3.8867	4.9194	4.2740	4.4714	4.8256	6.0903	5.0077	5.1992	5.7273	5.4051	4.8027	4.8325	4.7126	4.4436	3.7037	3.8190	3.7578	3.3698	3.0313	3.0161	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacteriaceae(100);Escherichia-Shigella(100);
OTU_10	5502	10.5788	10.6932	13.5658	13.3446	12.6482	10.8822	10.5205	9.8017	0.7558	0.9032	1.5330	1.4292	1.0455	1.2898	2.3006	1.7517	0.1149	0.1969	0.3333	0.3772	0.5219	0.4212	0.5996	0.4837	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Chromobacteriaceae(100);Chromobacterium(100);
