OTUID	Total	C1_rep1	C1_rep2	C2_rep1	C2_rep2	C3_rep1	C3_rep2	C4_rep1	C4_rep2	P1_rep1	P1_rep2	P2_rep1	P2_rep2	P3_rep1	P3_rep2	P4_rep1	P4_rep2	U1_rep1	U1_rep2	U2_rep1	U2_rep2	U3_rep1	U3_rep2	U4_rep1	U4_rep2	Taxonomy
OTU_1	22368	403	785	435	991	463	1109	582	1309	260	677	571	1329	685	1571	780	1790	981	2299	651	1572	257	564	673	1631	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacteriaceae(100);Salmonella(100);
OTU_2	13948	220	431	212	408	210	525	347	702	331	591	646	1358	766	1602	940	1777	292	620	234	538	62	167	329	640	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(100);Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium(98);
OTU_3	13072	76	202	94	198	91	263	131	281	101	278	220	544	274	701	308	746	754	2000	667	1732	250	698	643	1820	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Cupriavidus(100);
OTU_4	10491	386	934	612	1421	509	1299	469	979	105	253	317	780	340	831	499	1223	15	33	16	27	7	19	24	54	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(100);Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium(95);
OTU_5	9173	103	281	148	293	212	419	245	485	126	260	265	617	323	753	407	775	556	1090	386	791	131	258	557	1010	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Stenotrophomonas(100);
OTU_6	7613	156	374	211	458	199	463	243	570	118	222	211	540	201	539	355	800	378	834	263	605	107	276	319	731	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(98);
OTU_7	11152	180	468	263	610	197	482	294	610	133	286	278	604	287	714	350	814	64	187	115	292	30	82	71	202	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Bacillus(100);
OTU_8	6437	263	558	266	616	227	535	345	807	88	201	193	441	188	427	310	793	8	36	15	35	9	17	21	38	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);
OTU_9	5713	98	232	123	289	118	363	156	354	83	236	196	462	252	549	286	629	164	361	100	243	36	80	91	212	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacteriaceae(100);Escherichia-Shigella(100);
OTU_10	5502	265	617	428	948	384	803	384	776	13	35	60	127	46	131	137	228	4	16	9	24	5	10	18	34	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Chromobacteriaceae(100);Chromobacterium(100);
