#filename,count,total_bp,min,max,mean,median,mode,n50,std
C1_rep1,135186,56893936,62,456,420.86,427.00,427,427,11.14
C1_rep2,98748,41558489,62,439,420.85,427.00,427,427,11.14
C2_rep1,6551,2767906,246,433,422.52,427.00,427,427,9.92
C2_rep2,72815,30637761,62,437,420.76,427.00,427,427,11.19
C3_rep1,3233,1364241,246,429,421.97,427.00,427,427,10.52
C3_rep2,14521,6133878,120,437,422.41,427.00,427,427,10.31
C4_rep1,109078,45903779,62,439,420.83,427.00,427,427,11.15
C4_rep2,81350,34238383,62,439,420.88,427.00,427,427,11.11
P1_rep1,100562,42318180,62,439,420.82,427.00,427,427,11.16
P1_rep2,89666,37726256,62,439,420.74,427.00,427,427,11.17
P2_rep1,85505,35979407,62,439,420.79,427.00,427,427,11.16
P2_rep2,24047,10131497,120,437,421.32,427.00,427,427,10.91
P3_rep1,65216,27419600,62,437,420.44,427.00,427,427,11.39
P3_rep2,51205,21547786,120,437,420.81,427.00,427,427,11.05
P4_rep1,60601,25485811,62,437,420.55,427.00,427,427,11.25
P4_rep2,129999,54704257,62,439,420.81,427.00,427,427,11.18
U1_rep1,104227,43858693,62,439,420.80,427.00,427,427,11.15
U1_rep2,40322,16982153,120,437,421.16,427.00,427,427,10.91
U2_rep1,92548,38938756,62,439,420.74,427.00,427,427,11.22
U2_rep2,115957,48802123,62,439,420.86,427.00,427,427,11.12
U3_rep1,105209,44272700,62,439,420.81,427.00,427,427,11.14
U3_rep2,132536,55774908,62,439,420.83,427.00,427,427,11.16
U4_rep1,54362,22870583,120,437,420.71,427.00,427,427,11.10
U4_rep2,31583,13300440,120,437,421.13,427.00,427,427,11.02
