#filename,count,total_bp,min,max,mean,median,mode,n50,std
C1_rep1,85853,30048550,350,350,350.00,350.00,350,350,0.00
C1_rep2,52009,18203150,350,350,350.00,350.00,350,350,0.00
C2_rep1,120204,42071400,350,350,350.00,350.00,350,350,0.00
C2_rep2,29044,10165400,350,350,350.00,350.00,350,350,0.00
C3_rep1,21814,7634900,350,350,350.00,350.00,350,350,0.00
C3_rep2,83300,29155000,350,350,350.00,350.00,350,350,0.00
C4_rep1,98910,34618500,350,350,350.00,350.00,350,350,0.00
C4_rep2,37137,12997950,350,350,350.00,350.00,350,350,0.00
P1_rep1,107855,37749250,350,350,350.00,350.00,350,350,0.00
P1_rep2,59973,20990550,350,350,350.00,350.00,350,350,0.00
P2_rep1,56013,19604550,350,350,350.00,350.00,350,350,0.00
P2_rep2,129295,45253250,350,350,350.00,350.00,350,350,0.00
P3_rep1,46123,16143050,350,350,350.00,350.00,350,350,0.00
P3_rep2,18691,6541850,350,350,350.00,350.00,350,350,0.00
P4_rep1,116986,40945100,350,350,350.00,350.00,350,350,0.00
P4_rep2,75733,26506550,350,350,350.00,350.00,350,350,0.00
U1_rep1,41650,14577500,350,350,350.00,350.00,350,350,0.00
U1_rep2,8314,2909900,350,350,350.00,350.00,350,350,0.00
U2_rep1,88641,31024350,350,350,350.00,350.00,350,350,0.00
U2_rep2,95182,33313700,350,350,350.00,350.00,350,350,0.00
U3_rep1,38102,13335700,350,350,350.00,350.00,350,350,0.00
U3_rep2,62390,21836500,350,350,350.00,350.00,350,350,0.00
U4_rep1,110918,38821300,350,350,350.00,350.00,350,350,0.00
U4_rep2,106091,37131850,350,350,350.00,350.00,350,350,0.00
