#filename,count,total_bp,min,max,mean,median,mode,n50,std
rep1_C1_S244_L001_R1_001.fastq,15126,4550226,50,301,300.82,301.00,301,301,4.64
rep1_C1_S244_L001_R2_001.fastq,15126,4500449,35,301,297.53,300.00,300,300,26.07
rep1_C2_S245_L001_R1_001.fastq,17900,5381684,35,301,300.65,301.00,301,301,8.20
rep1_C2_S245_L001_R2_001.fastq,17900,5328355,35,301,297.67,300.00,300,300,25.30
rep1_C3_S246_L001_R1_001.fastq,19147,5759265,35,301,300.79,301.00,301,301,5.93
rep1_C3_S246_L001_R2_001.fastq,19147,5710199,35,301,298.23,300.00,300,300,22.60
rep1_C4_S247_L001_R1_001.fastq,22600,6797252,35,301,300.76,301.00,301,301,5.33
rep1_C4_S247_L001_R2_001.fastq,22600,6726489,35,301,297.63,300.00,300,300,25.53
rep1_P1_S248_L001_R1_001.fastq,10381,3122740,53,301,300.81,301.00,301,301,4.86
rep1_P1_S248_L001_R2_001.fastq,10381,3087142,35,301,297.38,300.00,300,300,26.75
rep1_P2_S249_L001_R1_001.fastq,21395,6434666,35,301,300.76,301.00,301,301,6.86
rep1_P2_S249_L001_R2_001.fastq,21395,6372448,35,301,297.85,300.00,300,300,24.57
rep1_P3_S250_L001_R1_001.fastq,31241,9394348,35,301,300.71,301.00,301,301,6.59
rep1_P3_S250_L001_R2_001.fastq,31241,9324418,35,301,298.47,300.00,300,300,21.39
rep1_P4_S251_L001_R1_001.fastq,30998,9328395,35,301,300.94,301.00,301,301,3.13
rep1_P4_S251_L001_R2_001.fastq,30998,9307700,35,301,300.27,300.00,300,300,3.05
rep1_U1_S252_L001_R1_001.fastq,18549,5581795,35,301,300.92,301.00,301,301,3.70
rep1_U1_S252_L001_R2_001.fastq,18549,5569189,35,301,300.24,300.00,300,300,4.19
rep1_U2_S253_L001_R1_001.fastq,17205,5154235,35,301,299.58,301.00,301,301,18.03
rep1_U2_S253_L001_R2_001.fastq,17205,5115277,35,301,297.31,300.00,300,300,26.89
rep1_U3_S254_L001_R1_001.fastq,7125,2122825,35,301,297.94,301.00,301,301,26.58
rep1_U3_S254_L001_R2_001.fastq,7125,2085001,35,301,292.63,300.00,300,300,42.80
rep1_U4_S255_L001_R1_001.fastq,18959,5676621,35,301,299.42,301.00,301,301,19.36
rep1_U4_S255_L001_R2_001.fastq,18959,5640703,35,301,297.52,300.00,300,300,26.03
rep2_C1_S244_L001_R1_001.fastq,17835,5367331,35,301,300.94,301.00,301,301,3.02
rep2_C1_S244_L001_R2_001.fastq,17835,5350073,35,301,299.98,300.00,300,300,3.54
rep2_C2_S245_L001_R1_001.fastq,21270,6400573,35,301,300.92,301.00,301,301,4.07
rep2_C2_S245_L001_R2_001.fastq,21270,6380812,35,301,299.99,300.00,300,300,3.15
rep2_C3_S246_L001_R1_001.fastq,24404,7344849,158,301,300.97,301.00,301,301,0.97
rep2_C3_S246_L001_R2_001.fastq,24404,7321585,127,301,300.02,300.00,300,300,1.45
rep2_C4_S247_L001_R1_001.fastq,25492,7672548,269,301,300.98,301.00,301,301,0.31
rep2_C4_S247_L001_R2_001.fastq,25492,7648289,296,301,300.03,300.00,300,300,0.19
rep2_P1_S248_L001_R1_001.fastq,12099,3640768,35,301,300.91,301.00,301,301,4.15
rep2_P1_S248_L001_R2_001.fastq,12099,3628996,35,301,299.94,300.00,300,300,4.58
rep2_P2_S249_L001_R1_001.fastq,27416,8251110,35,301,300.96,301.00,301,301,2.31
rep2_P2_S249_L001_R2_001.fastq,27416,8224526,35,301,299.99,300.00,300,300,3.10
rep2_P3_S250_L001_R1_001.fastq,36324,10930516,35,301,300.92,301.00,301,301,3.84
rep2_P3_S250_L001_R2_001.fastq,36324,10897034,35,301,300.00,300.00,300,300,2.66
rep2_P4_S251_L001_R1_001.fastq,39888,12004102,35,301,300.95,301.00,301,301,2.79
rep2_P4_S251_L001_R2_001.fastq,39888,11966338,35,301,300.00,300.00,300,300,2.56
rep2_U1_S252_L001_R1_001.fastq,25447,7658277,35,301,300.95,301.00,301,301,2.69
rep2_U1_S252_L001_R2_001.fastq,25447,7634404,35,301,300.01,300.00,300,300,2.09
rep2_U2_S253_L001_R1_001.fastq,22141,6663135,35,301,300.94,301.00,301,301,2.89
rep2_U2_S253_L001_R2_001.fastq,22141,6642352,35,301,300.00,300.00,300,300,2.44
rep2_U3_S254_L001_R1_001.fastq,8145,2451180,71,301,300.94,301.00,301,301,2.56
rep2_U3_S254_L001_R2_001.fastq,8145,2443236,35,301,299.97,300.00,300,300,3.89
rep2_U4_S255_L001_R1_001.fastq,23511,7074904,35,301,300.92,301.00,301,301,3.55
rep2_U4_S255_L001_R2_001.fastq,23511,7052705,35,301,299.97,300.00,300,300,3.51
